SR_TYPE,YEAR_MONTH,COMMUNITY_AREA,RESPONSE_DAYS_MEDIAN
Abandoned Vehicle Complaint,2019-04,18,2.6
Abandoned Vehicle Complaint,2019-04,19,4.9
Abandoned Vehicle Complaint,2019-04,20,24.2
Abandoned Vehicle Complaint,2019-04,21,16.7
Abandoned Vehicle Complaint,2019-04,22,31.6
Abandoned Vehicle Complaint,2019-04,23,9.2
Abandoned Vehicle Complaint,2019-04,24,16.2
Abandoned Vehicle Complaint,2019-04,25,5.9
Abandoned Vehicle Complaint,2019-04,26,4.3
Abandoned Vehicle Complaint,2019-04,27,3.9
Abandoned Vehicle Complaint,2019-04,28,11.9
Abandoned Vehicle Complaint,2019-04,29,8.8
Abandoned Vehicle Complaint,2019-04,30,8.7
Abandoned Vehicle Complaint,2019-04,31,15.8
Abandoned Vehicle Complaint,2019-04,32,38.0
Abandoned Vehicle Complaint,2019-04,33,13.1
Abandoned Vehicle Complaint,2019-04,34,23.8
Abandoned Vehicle Complaint,2019-04,35,12.3
Abandoned Vehicle Complaint,2019-04,36,16.9
Abandoned Vehicle Complaint,2019-04,37,23.4
Abandoned Vehicle Complaint,2019-04,38,17.8
Abandoned Vehicle Complaint,2019-04,39,13.6
Abandoned Vehicle Complaint,2019-04,40,14.3
Abandoned Vehicle Complaint,2019-04,41,14.9
Abandoned Vehicle Complaint,2019-04,42,8.3
Abandoned Vehicle Complaint,2019-04,43,7.4
Abandoned Vehicle Complaint,2019-04,44,7.0
Abandoned Vehicle Complaint,2019-04,45,5.9
Abandoned Vehicle Complaint,2019-04,46,4.8
Abandoned Vehicle Complaint,2019-04,48,3.6
Abandoned Vehicle Complaint,2019-04,49,6.8
Abandoned Vehicle Complaint,2019-04,50,7.8
Abandoned Vehicle Complaint,2019-04,51,5.6
Abandoned Vehicle Complaint,2019-04,52,30.1
Abandoned Vehicle Complaint,2019-04,53,10.0
Abandoned Vehicle Complaint,2019-04,54,25.7
Abandoned Vehicle Complaint,2019-04,55,26.4
Abandoned Vehicle Complaint,2019-04,56,14.0
Abandoned Vehicle Complaint,2019-04,57,20.3
Abandoned Vehicle Complaint,2019-04,58,9.9
Abandoned Vehicle Complaint,2019-04,59,8.0
Abandoned Vehicle Complaint,2019-04,60,15.8
Abandoned Vehicle Complaint,2019-04,61,14.7
Abandoned Vehicle Complaint,2019-04,62,6.8
Abandoned Vehicle Complaint,2019-04,63,10.7
Abandoned Vehicle Complaint,2019-04,64,3.9
Abandoned Vehicle Complaint,2019-04,65,23.1
Abandoned Vehicle Complaint,2019-04,66,13.8
Abandoned Vehicle Complaint,2019-04,67,13.9
Abandoned Vehicle Complaint,2019-04,68,13.8
Abandoned Vehicle Complaint,2019-04,69,10.5
Abandoned Vehicle Complaint,2019-04,70,12.7
Abandoned Vehicle Complaint,2019-04,71,12.7
Abandoned Vehicle Complaint,2019-04,72,10.3
Abandoned Vehicle Complaint,2019-04,73,13.2
Abandoned Vehicle Complaint,2019-04,74,18.0
Abandoned Vehicle Complaint,2019-04,75,12.9
Abandoned Vehicle Complaint,2019-04,76,6.5
Abandoned Vehicle Complaint,2019-04,77,23.9
Abandoned Vehicle Complaint,2019-05,1,15.8
Abandoned Vehicle Complaint,2019-05,2,14.5
Abandoned Vehicle Complaint,2019-05,3,14.8
Abandoned Vehicle Complaint,2019-05,4,8.5
Abandoned Vehicle Complaint,2019-05,5,9.9
Abandoned Vehicle Complaint,2019-05,6,13.0
Abandoned Vehicle Complaint,2019-05,7,14.2
Abandoned Vehicle Complaint,2019-05,8,4.6
Abandoned Vehicle Complaint,2019-05,9,6.8
Abandoned Vehicle Complaint,2019-05,10,6.3
Abandoned Vehicle Complaint,2019-05,11,12.9
Abandoned Vehicle Complaint,2019-05,12,6.4
Abandoned Vehicle Complaint,2019-05,13,13.5
Abandoned Vehicle Complaint,2019-05,14,8.7
Abandoned Vehicle Complaint,2019-05,15,16.8
Abandoned Vehicle Complaint,2019-05,16,14.9
Abandoned Vehicle Complaint,2019-05,17,17.0
Abandoned Vehicle Complaint,2019-05,18,4.0
Abandoned Vehicle Complaint,2019-05,19,16.8
Abandoned Vehicle Complaint,2019-05,20,11.1
Abandoned Vehicle Complaint,2019-05,21,12.7
Abandoned Vehicle Complaint,2019-05,22,8.6
Abandoned Vehicle Complaint,2019-05,23,7.0
Abandoned Vehicle Complaint,2019-05,24,14.1
Abandoned Vehicle Complaint,2019-05,25,6.4
Abandoned Vehicle Complaint,2019-05,26,9.6
Abandoned Vehicle Complaint,2019-05,27,2.8
Abandoned Vehicle Complaint,2019-05,28,5.2
Abandoned Vehicle Complaint,2019-05,29,8.1
Abandoned Vehicle Complaint,2019-05,30,10.7
Abandoned Vehicle Complaint,2019-05,31,11.2
Abandoned Vehicle Complaint,2019-05,32,5.8
Abandoned Vehicle Complaint,2019-05,33,22.7
Abandoned Vehicle Complaint,2019-05,34,7.0
Abandoned Vehicle Complaint,2019-05,35,24.9
Abandoned Vehicle Complaint,2019-05,36,22.7
Abandoned Vehicle Complaint,2019-05,37,23.4
Abandoned Vehicle Complaint,2019-05,38,10.3
Abandoned Vehicle Complaint,2019-05,39,13.8
Abandoned Vehicle Complaint,2019-05,40,8.7
Abandoned Vehicle Complaint,2019-05,41,12.8
Abandoned Vehicle Complaint,2019-05,42,5.6
